COIL_NO,NUMBER_OF_PASSES,PASS_NO,PASS_INPUT_THICKNESS,PASS_OUTPUT_THICKNESS
K530804000,5,2,1.46,1.08
K530753000,5,1,2.02,1.51
K530753000,5,2,1.45,1.12
K530753000,5,3,1.1,0.83
K530753000,5,4,0.81,0.6
K530739000,4,4,0.81,0.6
K4A0902000,7,1,2.49,1.98
K4A0902000,7,2,1.98,1.59
K4C1300000,5,3,1.1,0.81
K4C1300000,5,4,0.81,0.6
K4B0698000,6,1,2.81,2.24
K4C1253000,5,4,0.81,0.6
K4C1253000,5,5,0.59,0.44
K4C1283000,5,1,2,1.48
K4C1283000,5,2,1.47,1.09
K4C1215000,6,1,1.99,1.48
K4C1183000,5,5,0.6,0.43
K4C1333000,6,1,2.2,1.69
K4C1442000,5,5,0.57,0.41
K4C1228000,5,3,1.2,0.88
K4C1228000,5,4,0.89,0.65
K4C1628000,5,2,1.46,1.08
K4C1628000,5,3,1.09,0.8
K4C1455000,5,5,0.56,0.41
K4C1294000,5,1,2.2,1.58
K4C1452000,5,4,0.74,0.54
K4C1332000,4,5,0.58,0.41
K4C1401000,5,5,0.67,0.51
K4C1795000,5,5,0.58,0.41
K4C1982000,4,3,1.03,0.74
K4C1466000,5,3,1.08,0.81
K4C1263000,5,4,0.93,0.69
K4C1355000,6,3,1.07,0.77
K4C1886000,6,2,1.49,1.16
K4C1886000,6,3,1.14,0.87
K4C1492000,5,2,1.46,1.09
K4C1492000,5,3,1.1,0.81
K4C1496000,6,1,2.01,1.53
K4C1496000,6,2,1.54,1.2
K4C2031000,6,2,1.66,1.27
K4C2031000,6,3,1.26,0.96
K4C1091100,5,5,0.55,0.41
K4C1599000,5,1,2.02,1.47
K4C1599000,5,2,1.46,1.08
K4C1598000,5,5,0.57,0.41
K4C1483000,5,1,2.21,1.59
K4C1483000,5,2,1.59,1.16
K4C1483000,5,3,1.17,0.83
K4C1562000,5,3,1.09,0.81
K4C1562000,5,4,0.8,0.59
K4C1523000,5,1,2.07,1.51
K4C1523000,5,2,1.47,1.09
K4C1433000,6,6,0.55,0.42
K4C1769000,4,1,2.01,1.38
K4C0789000,7,4,1.22,0.99
K4C0789000,7,5,1,0.82
K4C0666000,7,2,1.79,1.53
K4C0666000,7,3,1.49,1.22
K4B1506000,6,1,2.83,2.31
K4B1506000,6,2,2.29,1.92
K4B1506000,6,3,1.92,1.58
K4C1444000,6,4,0.88,0.67
K510144000,6,1,2.14,1.62
K510144000,6,2,1.6,1.21
K510431000,5,5,0.58,0.41
K510430000,5,1,2.02,1.47
K510430000,5,2,1.46,1.08
K510537000,6,1,2.03,1.47
K4C1842000,7,6,0.77,0.62
K510627000,6,1,2.28,1.76
K4C1864000,4,1,1.99,1.37
K4C1864000,4,3,0.97,0.66
K4C1993000,6,4,1.07,0.84
K4C1993000,6,5,0.84,0.66
K4C1993000,6,6,0.66,0.51
K510277000,5,2,1.5,1.17
K510277000,5,3,1.16,0.88
K510526000,6,3,1.31,1.05
K510526000,6,4,1.05,0.82
K510850000,5,2,1.46,1.08
K510829000,5,1,2.02,1.48
K510829000,5,2,1.48,1.11
K510477000,5,1,2.18,1.66
K510511000,4,4,0.63,0.42
K511656000,4,1,2.54,2.06
K511656000,4,2,2.05,1.71
K511656000,4,3,1.71,1.41
K4C1903000,5,2,1.48,1.11
K4C1903000,5,3,1.1,0.83
K4C1903000,5,4,0.82,0.61
K510479000,6,1,2.19,1.66
K510479000,6,2,1.69,1.29
K510479000,6,3,1.29,0.98
K510930000,6,6,0.43,0.31
K510935000,6,3,1.07,0.78
K510935000,6,4,0.77,0.57
K510833000,6,1,2.02,1.46
K510833000,6,2,1.45,1.07
K521275000,5,4,0.94,0.69
K521059000,4,1,2.21,1.55
K521299000,7,2,1.74,1.41
K521299000,7,3,1.44,1.12
K521299000,7,4,1.12,0.88
K521527000,4,2,1.93,1.54
K521527000,4,3,1.51,1.16
K520841000,6,1,2.03,1.55
K520841000,6,2,1.55,1.2
K520841000,6,3,1.2,0.93
K521583000,5,4,0.81,0.59
K521583000,5,5,0.58,0.41
K521432000,4,1,2.23,1.61
K521432000,4,2,1.6,1.2
K521273000,6,1,2.24,1.66
K521273000,6,2,1.66,1.3
K521273000,6,5,0.73,0.55
K511337000,7,3,1.46,1.21
K511337000,7,4,1.22,1.01
K511337000,7,5,1.01,0.86
K521058000,6,6,2.32,2
K521766000,5,1,2.48,2.02
K521766000,5,2,2.02,1.66
K521662000,5,1,2.47,2.02
K521662000,5,2,2.03,1.66
K520852000,4,3,1.05,0.76
K520852000,4,4,0.76,0.54
K520822000,6,2,1.51,1.15
K520832000,5,3,1.09,0.8
K520844000,4,3,1.03,0.75
K521869000,5,2,1.68,1.29
K521869000,5,3,1.28,0.99
K522014000,5,5,1.1,0.89
K521100000,6,6,0.44,0.32
K521993000,5,4,1.36,1.11
K521993000,5,5,1.1,0.89
K521105000,6,3,1.05,0.77
K521105000,6,4,0.76,0.55
K521065000,6,5,0.62,0.46
K522118000,4,1,2.54,2.04
K522118000,4,2,2.01,1.64
K522118000,4,3,1.65,1.33
K521592000,6,1,1.96,1.52
K521176000,6,5,0.64,0.49
K521725000,5,3,1.03,0.73
K521725000,5,4,0.73,0.51
K522127000,5,1,2,1.45
K521812000,6,1,2.18,1.66
K521812000,6,2,1.66,1.26
K521812000,6,3,1.26,0.95
K521182000,5,2,1.44,1.05
K521182000,5,3,1.05,0.76
K511308000,7,1,2.78,2.33
K521060000,8,4,2.99,2.59
K521060000,8,5,2.59,2.25
K521060000,8,6,2.26,1.97
K521060000,8,7,1.97,1.71
K521060000,8,8,1.71,1.53
K520944000,6,3,1.05,0.76
K520944000,6,4,0.76,0.54
K521769000,5,1,1.98,1.49
K521769000,5,2,1.49,1.11
K521247000,6,4,0.8,0.58
K521168000,5,1,1.97,1.47
K521168000,5,2,1.44,1.05
K510877000,6,6,0.4,0.29
K521189000,6,6,0.41,0.29
K521580000,6,1,1.98,1.44
K522170000,6,6,0.39,0.29
K521020000,6,3,1.39,1.12
K521020000,6,4,1.12,0.92
K511334000,6,1,2.02,1.52
K511334000,6,4,0.95,0.76
K521705000,7,4,1.13,0.92
K521705000,7,5,0.92,0.75
K521705000,7,6,0.76,0.62
K530025000,6,3,1.2,0.94
K530025000,6,4,0.95,0.74
K521900000,5,1,1.99,1.48
K521900000,5,2,1.47,1.1
K521205000,4,3,1,0.73
K521205000,4,4,0.71,0.5
K530063100,4,1,2.8,2.23
K530161000,5,1,2.02,1.45
K530161000,5,2,1.43,1.06
K530161000,5,3,1.05,0.76
K530161000,5,4,0.76,0.54
K521400000,5,4,0.79,0.58
K521400000,5,5,0.58,0.41
K530078000,5,4,0.75,0.54
K530078000,5,5,0.54,0.38
K530413000,5,1,1.99,1.49
K4C1540000,5,1,2.18,1.58
K4C1540000,5,5,0.58,0.41
K4C1869000,4,1,1.98,1.43
K4C1869000,4,2,1.43,1.03
K4C1875000,4,1,1.96,1.41
K4C1875000,4,2,1.43,1.03
K4C1907000,4,3,1.02,0.73
K4C0405000,5,2,4.3,3.94
K4A1494000,8,2,2.92,2.46
K4A1494000,8,3,2.45,2.08
K4C0975000,8,5,1.49,1.22
K4C0975000,8,6,1.22,1.04
K4C1322000,5,2,1.45,1.1
K4C1322000,5,3,1.09,0.79
K4C1578000,6,4,0.97,0.73
K4C1578000,6,5,0.73,0.55
K4C1622000,5,4,0.79,0.58
K4C1701000,5,4,0.79,0.57
K4C1165000,6,6,0.41,0.3
K4C0380000,6,1,2.02,1.54
K4C1739000,6,1,1.96,1.47
K4C1739000,6,2,1.47,1.08
K4C1886000,6,6,0.49,0.36
K4C1831000,6,1,1.97,1.49
K4C1831000,6,2,1.47,1.14
K510023000,6,1,2.21,1.65
K4C1769000,4,2,1.37,0.95
K4C1769000,4,3,0.93,0.66
K4C1769000,4,4,0.65,0.45
K4C1499000,4,3,0.95,0.65
K4C1499000,4,4,0.7,0.64
K4C1764000,4,3,0.94,0.65
K4C1564000,4,1,2.04,1.47
K4C1564000,4,2,1.46,1.1
K4C1838000,6,3,1.13,0.87
K4C1838000,6,4,0.86,0.65
K4C1888000,6,2,1.52,1.2
K4C1888000,6,3,1.2,0.93
K4C1888000,6,4,0.93,0.71
K4C1567000,6,1,2.24,1.67
K4C1567000,6,2,1.67,1.28
K510226000,6,4,1,0.76
K510226000,6,5,0.75,0.57
K4C1491000,5,2,1.4,0.98
K4C1491000,5,3,0.97,0.65
K4C1691000,4,1,2,1.38
K4C1691000,4,2,1.37,0.94
K4C1207000,7,2,1.5,1.14
K4C1207000,7,3,1.14,0.88
K4C1207000,7,4,0.88,0.66
K4C1291000,6,1,1.99,1.49
K4C1405000,6,5,0.55,0.4
K4C1629000,4,4,0.63,0.41
K4C1942000,6,1,2.24,1.72
K4C1942000,6,2,1.7,1.33
K4C0932000,7,1,2.22,1.76
K4C0932000,7,2,1.75,1.4
K4C0004000,4,1,2.77,2.24
K4C0004000,4,2,2.25,1.82
K4C0004000,4,3,1.8,1.46
K4B1771000,4,1,2.79,2.25
K4C0012000,4,2,2.26,1.82
K4C0012000,4,3,1.81,1.45
K4C0012000,4,4,1.46,1.16
K4C0386000,6,2,1.66,1.31
K4C0386000,6,3,1.29,1
K4C0387000,6,5,0.77,0.59
K4C0387000,6,6,0.58,0.44
K4C0005000,4,1,2.77,2.25
K4C1618000,6,6,0.43,0.31
K510330000,6,6,0.4,0.29
K4B2043000,7,4,1.31,1.07
K4B2043000,7,5,1.08,0.89
K4B2043000,7,6,0.88,0.73
K4B0708000,6,1,2.01,1.55
K4B0708000,6,2,1.55,1.22
K4C1461000,5,4,0.8,0.59
K510424000,4,1,2.01,1.47
K510424000,4,2,1.46,1.08
K510424000,4,5,0.58,0.41
K4B1518000,6,6,1.09,0.89
K510450000,4,1,1.96,1.4
K4B1565000,4,1,2.81,2.25
K510550000,6,3,1.26,0.96
K510550000,6,4,0.96,0.73
K4B1580000,5,1,2.77,2.25
K4B1580000,5,2,2.24,1.82
K4B1580000,5,3,1.82,1.47
K4B1580000,5,4,1.47,1.21
K4B1580000,5,5,1.19,0.95
K4B1586000,4,1,2.81,2.21
K4B0976000,4,1,2.81,2.2
K520779000,5,2,1.45,1.1
K521355000,5,1,2.23,1.66
K521355000,5,2,1.64,1.25
K521355000,5,3,1.25,0.96
K521299000,7,5,0.89,0.7
K521299000,7,6,0.71,0.56
K521661000,4,4,1.16,0.89
K521671000,4,2,1.92,1.54
K521671000,4,3,1.5,1.18
K511462000,5,1,5.2,4.37
K511462000,5,2,4.36,3.93
K520009000,8,7,0.81,0.64
K520009000,8,8,0.63,0.51
K521373000,6,1,2.8,2.26
K521373000,6,2,2.26,1.82
K521373000,6,3,1.83,1.49
K521373000,6,4,1.52,1.22
K521373000,6,5,1.21,1.02
K521373000,6,6,1.01,0.82
K521246000,8,1,4.8,4
K521246000,8,2,3.99,3.45
K521246000,8,3,3.42,3.02
K521246000,8,4,3,2.58
K521841000,6,1,2.21,1.73
K520822000,6,6,0.49,0.38
K520836000,4,1,1.96,1.43
K520789000,5,5,0.6,0.44
K521072000,6,5,0.56,0.42
K521272000,5,3,1.1,0.82
K521272000,5,4,0.81,0.6
K521615000,5,1,2.25,1.6
K521615000,5,2,1.59,1.15
K521615000,5,5,0.58,0.42
K521992000,6,2,2.06,1.75
K521992000,6,3,1.73,1.46
K521992000,6,4,1.47,1.22
K521100000,6,1,1.97,1.47
K520972100,4,4,0.67,0.48
K521638000,6,2,1.51,1.16
K521638000,6,3,1.16,0.87
K521518000,4,1,2.03,1.46
K520833000,5,1,2.02,1.49
K521105000,6,1,1.97,1.47
K521105000,6,2,1.45,1.06
K521105000,6,6,0.4,0.28
K520829000,5,1,1.97,1.45
K521305000,5,5,0.72,0.57
K521305000,5,6,0.57,0.44
K522092000,5,1,2.53,2.04
K522092000,5,2,2.02,1.65
K521815000,5,3,1.05,0.77
K521815000,5,4,0.77,0.54
K521190000,6,1,2,1.47
K521190000,6,2,1.46,1.09
K521920000,5,1,1.93,1.41
K521257000,4,4,0.71,0.5
K521236000,4,3,1.01,0.71
K521236000,4,4,0.71,0.51
K521439000,6,6,0.54,0.41
K530413000,5,2,1.46,1.08
K530507000,5,5,0.57,0.41
K521453000,5,5,3.29,3.08
K521302000,5,3,3.89,3.6
K521302000,5,4,3.59,3.3
K530423000,6,4,0.96,0.72
K530423000,6,5,0.73,0.54
K521949000,6,6,0.4,0.28
K521285000,6,2,4.39,3.92
K521285000,6,3,3.9,3.49
K530237000,7,2,1.72,1.42
K530237000,7,3,1.4,1.14
K530558000,4,2,1.9,1.52
K530558000,4,3,1.49,1.15
K530558000,4,4,1.15,0.88
K530533000,5,5,0.74,0.55
K530539000,5,4,0.96,0.74
K530516000,5,4,0.77,0.56
K521522000,6,6,0.42,0.3
K521496000,6,6,0.41,0.3
K521124000,4,1,5.2,4.35
K521124000,4,2,4.35,3.93
K530757000,5,3,1.65,1.33
K530757000,5,4,1.34,1.07
K530757000,5,5,1.23,0.97
K530777000,4,1,2.49,1.92
K530346000,6,5,0.57,0.41
K530693100,3,1,2.5,1.93
K530693100,3,2,1.93,1.5
K530693100,3,3,1.51,1.15
K530700100,3,2,1.96,1.49
K530700100,3,3,1.49,1.15
K530509100,4,4,1.47,1.16
K4A0489000,6,2,2.28,1.87
K4A0489000,6,3,1.86,1.55
K4A0489000,6,4,1.56,1.29
K4C1138000,7,5,1.26,1.04
K4C1138000,7,6,1.05,0.87
K4C1300000,5,5,0.59,0.43
K4C1301000,5,1,1.99,1.48
K4C1178000,5,4,0.78,0.57
K4B0698000,6,2,2.24,1.81
K4B0698000,6,3,1.81,1.44
K4C1215000,6,6,0.41,0.29
K4C1393000,5,4,0.86,0.64
K4C1393000,5,5,0.65,0.48
K4C1288000,6,6,0.44,0.32
K4C1421000,5,2,1.46,1.13
K4C1421000,5,3,1.11,0.82
K4C1583000,4,1,1.99,1.49
K4C1583000,4,4,0.82,0.61
K4C1295000,4,2,1.38,0.99
K4C1295000,4,3,0.97,0.66
K4C1411000,5,2,1.42,1.02
K4C1569000,5,1,2.2,1.58
K4C1660000,5,5,0.56,0.41
K4C1194000,4,4,0.74,0.53
K4C1791000,5,3,1.08,0.79
K4C1791000,5,4,0.79,0.57
K4C1279000,6,5,0.73,0.57
K4C1279000,6,6,0.57,0.44
K4C0509000,8,3,3.48,3.02
K4C0509000,8,4,3.02,2.62
K4C0509000,8,5,2.6,2.29
K4C0231000,7,3,2.05,1.7
K4C0231000,7,4,1.7,1.43
K4C0231000,7,5,1.42,1.18
K4C0003000,7,3,2.02,1.71
K4C0003000,7,4,1.72,1.41
K4C0003000,7,5,1.43,1.18
K4C1867000,5,5,0.58,0.41
K4C1704000,5,1,1.99,1.46
K4C1565000,6,1,2.19,1.67
K4C1482000,5,4,0.92,0.68
K4C1482000,5,5,0.66,0.49
K4C1355000,6,2,1.45,1.07
K4B1931000,5,3,1.79,1.43
K4C1733000,6,3,1.12,0.83
K4C1733000,6,4,0.84,0.62
K4C1885000,5,2,1.45,1.1
K4C1885000,5,3,1.09,0.8
K510010000,5,5,0.58,0.41
K4C1095100,5,1,2.02,1.46
K4C1095100,5,2,1.45,1.06
K4C1887000,5,5,0.52,0.36
K4C1750000,4,4,0.72,0.5
K4C1289000,6,3,1.07,0.78
K4C1765000,4,4,0.63,0.42
K4C1374000,4,3,0.93,0.63
K4C1374000,4,4,0.63,0.41
K4C1939000,7,7,0.62,0.51
K4C1152000,6,1,2.05,1.47
K4C1152000,6,2,1.46,1.1
K4C1405000,6,6,0.4,0.29
K4C1738000,7,1,1.99,1.52
K4C1742000,6,1,2.04,1.47
K4C1742000,6,2,1.46,1.06
K4C1904000,4,3,0.94,0.63
K4C1613000,5,5,0.72,0.54
K4C1884000,5,4,0.73,0.52
K4B0977000,6,1,2.8,2.3
K510437000,4,2,1.37,0.94
K510437000,4,3,0.94,0.66
K510806000,5,3,1.07,0.79
K4C1191000,5,4,0.79,0.57
K510498000,6,5,0.71,0.54
K510498000,6,6,0.54,0.41
K510833000,6,3,1.07,0.78
K511424000,6,6,0.43,0.31
K511427000,6,1,1.99,1.47
K511427000,6,2,1.49,1.11
K510534000,4,4,0.63,0.41
K510782000,4,2,1.46,1.08
K510782000,4,3,1.08,0.79
K510842000,2,1,2.21,1.59
K510842000,2,2,1.59,1.15
K511516000,7,7,0.39,0.29
K511514000,7,2,1.52,1.17
K511514000,7,3,1.17,0.89
K510619000,5,4,0.82,0.61
K511653000,5,3,1.11,0.82
K511653000,5,4,0.83,0.61
K4C0186000,5,4,1.4,1.09
K4C0186000,5,5,1.09,0.86
K4C0207000,7,5,1.65,1.39
K4C0207000,7,6,1.39,1.19
K521424000,4,2,1.92,1.53
K521424000,4,3,1.5,1.16
K521526000,4,4,0.73,0.52
K521708000,4,2,1.93,1.53
K521708000,4,3,1.52,1.16
K521708000,4,4,1.16,0.89
K511406000,5,3,3.92,3.61
K511406000,5,4,3.62,3.31
K520867000,5,3,1.05,0.76
K520867000,5,4,0.76,0.54
K520872000,5,2,1.46,1.09
K520872000,5,3,1.09,0.8
K520872000,5,5,0.58,0.42
K520885000,5,5,0.57,0.42
K520882000,5,3,1.08,0.79
K520882000,5,4,0.8,0.58
K520931000,4,2,1.47,1.08
K520931000,4,3,1.08,0.79
K521444000,6,1,2.83,2.26
K521444000,6,2,2.25,1.84
K521386100,4,1,2.74,2.13
K520850000,5,5,0.6,0.44
K521113000,6,2,1.45,1.09
K521113000,6,3,1.08,0.78
K521094000,6,4,0.78,0.57
K511143000,8,1,2.23,1.73
K511143000,8,5,0.95,0.79
K511143000,8,6,0.8,0.68
K511872000,5,5,0.55,0.4
K521960000,4,1,2.53,1.94
K521947000,4,1,2.52,1.93
K521947000,4,2,1.95,1.52
K521272000,5,1,2.05,1.49
K521272000,5,2,1.47,1.1
K521615000,5,3,1.15,0.82
K521615000,5,4,0.82,0.59
K521350000,5,3,1.1,0.82
K521350000,5,4,0.82,0.59
K521350000,5,5,0.6,0.44
K521179000,5,3,1.09,0.83
K521179000,5,4,0.83,0.59
K521494000,6,2,1.68,1.3
K521494000,6,3,1.21,1
K521446000,8,8,0.6,0.51
K521378000,7,1,2.15,1.79
K521378000,7,2,1.77,1.45
K521378000,7,3,1.45,1.19
K521377000,7,6,0.77,0.63
K522031000,6,6,0.5,0.37
K521703000,5,1,2.03,1.48
K521703000,5,2,1.46,1.12
K521469000,4,1,2.04,1.45
K521469000,4,2,1.42,1.05
K521271000,5,5,0.59,0.44
K520713000,6,4,0.8,0.59
K521065000,6,3,1.11,0.83
K521065000,6,4,0.83,0.61
K522162000,6,6,0.57,0.44
K522161000,5,4,0.82,0.6
K521919000,5,3,1.03,0.74
K521919000,5,4,0.73,0.51
K521919000,5,5,0.52,0.36
K522127000,5,5,0.54,0.38
K521669000,6,1,2.19,1.68
K521669000,6,2,1.68,1.29
K521669000,6,3,1.29,0.99
K521710000,5,5,0.68,0.5
K521073000,6,6,0.46,0.34
K521802000,5,3,1.09,0.8
K521802000,5,4,0.81,0.59
K511131000,8,4,1.78,1.54
K511131000,8,5,1.53,1.33
K511131000,8,6,1.34,1.16
K520932000,8,4,3.13,2.64
K520932000,8,5,2.62,2.29
K520932000,8,6,2.29,1.98
K521927000,4,3,1.1,0.81
K521927000,4,4,0.8,0.6
K521927000,4,5,0.6,0.44
K530036000,4,1,1.97,1.47
K530036000,4,2,1.45,1.1
K521114000,6,5,0.63,0.47
K521107000,6,2,1.47,1.1
K521107000,6,3,1.1,0.81
K521107000,6,6,0.42,0.3
K521916000,5,3,1.09,0.79
K521805000,6,3,1.17,0.89
K521805000,6,4,0.89,0.67
K522086000,6,1,2.05,1.45
K522086000,6,2,1.45,1.07
K521266000,6,5,0.57,0.41
K521883000,6,6,0.41,0.3
K521189000,6,5,0.57,0.42
K4A0903000,7,3,1.6,1.3
K4A0903000,7,4,1.31,1.07
K4C1174000,5,2,1.64,1.26
K4C1174000,5,3,1.32,1.07
K4C1272000,6,1,2.18,1.68
K4C1272000,6,2,1.66,1.26
K4C1190000,6,1,1.97,1.5
K4C1190000,6,2,1.51,1.15
K4C1190000,6,3,1.14,0.86
K4C1420000,5,4,0.79,0.58
K4C1412000,4,3,0.93,0.64
K4C1417000,4,3,0.94,0.65
K4C1448000,4,4,0.65,0.44
K4C1585000,5,3,0.91,0.81
K4C1745000,4,2,1.37,0.94
K4C1745000,4,3,0.93,0.63
K4C1418000,5,3,1.14,0.87
K4C1418000,5,4,0.87,0.65
K4C1344000,5,1,2.17,1.62
K4C1344000,5,2,1.61,1.2
K4C1793000,6,1,2,1.51
K4C1404000,5,4,0.85,0.62
K4C1316000,5,1,2.03,1.45
K4C1316000,5,5,0.59,0.43
K4C1296000,5,4,0.81,0.6
K4C1690000,6,6,0.49,0.36
K4C1225000,4,3,1.06,0.78
K4C1225000,4,4,0.77,0.56
K4C1876000,5,3,1.12,0.82
K4C1876000,5,4,0.82,0.61
K4C1277000,4,3,1.07,0.8
K4C1532000,5,5,0.72,0.5
K4C1596000,5,1,2.01,1.53
K4C1781000,5,5,0.57,0.41
K4C1489000,5,5,0.57,0.42
K4C1339000,5,5,0.59,0.42
K4C1294000,5,4,0.82,0.59
K4C1370000,5,4,0.94,0.69
K4B0729000,4,2,2.25,1.82
K4B0729000,4,3,1.82,1.46
K4C0405000,5,3,3.95,3.64
K4C0405000,5,4,3.64,3.35
K4C1356000,7,4,1.58,1.32
K4C1356000,7,5,1.33,1.12
K4C1356000,7,6,1.12,0.94
K4C2059000,5,3,1.26,0.95
K4C2059000,5,4,0.94,0.7
K4C1878000,6,5,0.65,0.49
K4C1739000,6,6,0.44,0.32
K4C1831000,6,3,1.12,0.84
K4C1831000,6,4,0.84,0.62
K4C1496000,6,3,1.21,0.92
K4C1343000,5,1,2.12,1.65
K4C1860000,4,4,0.71,0.5
K4C1779000,5,1,2,1.46
K4C1779000,5,2,1.46,1.08
K4C1562000,5,5,0.59,0.44
K4C1508000,6,6,0.55,0.42
K4C1479000,5,1,2.19,1.62
K4C1479000,5,2,1.61,1.19
K4C1479000,5,3,1.19,0.86
K4C1573000,5,5,0.65,0.47
K4C1759000,4,1,1.99,1.36
K4C1759000,4,2,1.38,0.96
K4C1538000,5,3,1.2,0.89
K4C1538000,5,4,0.88,0.64
K4C0932000,7,5,0.86,0.68
K4B1771000,4,2,2.25,1.81
K4B1771000,4,3,1.81,1.45
K4C0013000,4,1,2.8,2.25
K4C0013000,4,2,2.26,1.82
K4C0013000,4,3,1.79,1.47
K4B0976000,4,2,2.22,1.76
K4B0976000,4,3,1.75,1.45
K4B0976000,4,4,1.44,1.17
K4B1568000,4,1,2.75,2.23
K510494000,7,1,2.25,1.8
K510533000,5,3,1.05,0.77
K510533000,5,4,0.76,0.55
K510540000,4,3,0.92,0.61
K510540000,4,4,0.61,0.41
K4C0610000,6,2,2.1,1.68
K4C0610000,6,3,1.66,1.26
K4C0610000,6,4,1.27,0.95
K510664000,6,1,1.99,1.45
K510664000,6,2,1.45,1.07
K510448000,5,4,0.86,0.65
K510448000,5,5,0.66,0.49
K4C1956000,6,6,0.65,0.51
K510738000,7,5,1.06,0.87
K510738000,7,6,0.86,0.72
K510626000,5,1,2.05,1.45
K510561000,5,2,1.65,1.25
K520779000,5,5,0.57,0.42
K521275000,5,1,2.16,1.65
K521275000,5,2,1.63,1.26
K521275000,5,3,1.24,0.94
K521310000,5,2,1.64,1.24
K521310000,5,3,1.25,0.93
K521481000,4,4,0.81,0.6
K521708000,4,1,2.49,1.94
K521676000,5,1,2.49,2.04
K521512000,4,4,1.16,0.89
K520882000,5,5,0.58,0.42
K521614000,4,2,1.48,1.09
K521614000,4,3,1.08,0.79
K4C0412000,7,1,3.48,2.94
K4C0412000,7,2,2.93,2.45
K4C0412000,7,3,2.47,2.08
K520504000,7,7,0.62,0.52
K521280000,6,4,1.34,1.08
K521280000,6,5,1.07,0.87
K521280000,6,6,0.88,0.72
K521199000,6,1,2.53,2.04
K521834000,6,2,1.73,1.36
K521834000,6,3,1.36,1.1
K521834000,6,4,1.11,0.89
K521389100,4,1,2.78,2.14
K521389100,4,2,2.15,1.65
K521389100,4,3,1.66,1.27
K521242000,7,1,2.19,1.72
K520828000,5,2,1.44,1.05
K520828000,5,3,1.05,0.75
K520832000,5,1,2,1.47
K520832000,5,2,1.48,1.1
K520830000,5,3,1.09,0.82
K521099000,6,1,1.98,1.47
K521099000,6,2,1.44,1.08
K521072000,6,1,1.99,1.46
K521085000,4,1,1.99,1.43
K520844000,4,1,1.96,1.43
K520844000,4,2,1.43,1.04
K521025000,4,1,1.98,1.44
K521025000,4,2,1.43,1.07
K521025000,4,3,1.04,0.75
K521714000,5,1,2.04,1.49
K521237000,5,1,2.24,1.61
K521237000,5,2,1.58,1.15
K521316000,5,1,2,1.49
K520710000,6,6,0.39,0.29
K521433000,5,1,2.21,1.69
K521433000,5,2,1.68,1.3
K521433000,5,3,1.29,0.99
K521494000,6,1,2.23,1.71
K521494000,6,4,1,0.76
K521494000,6,5,0.76,0.59
K521220000,7,7,0.57,0.46
K521446000,8,1,2.18,1.79
K521446000,8,2,1.81,1.52
K521446000,8,3,1.52,1.27
K522031000,6,1,2.02,1.52
K522031000,6,2,1.5,1.14
K522031000,6,3,1.14,0.87
K522031000,6,4,0.87,0.66
K521447000,6,5,0.65,0.5
K520823000,6,5,0.67,0.52
K522162000,6,1,2.04,1.58
K522161000,5,2,1.46,1.09
K522161000,5,3,1.1,0.81
K522127000,5,2,1.45,1.05
K522127000,5,3,1.05,0.77
K522127000,5,4,0.77,0.55
K521812000,6,5,0.72,0.53
K521182000,5,4,0.77,0.55
K521182000,5,5,0.55,0.39
K521917000,5,1,1.99,1.45
K521917000,5,2,1.44,1.05
K521917000,5,3,1.04,0.78
K521055000,8,7,1.95,1.73
K521055000,8,8,1.71,1.52
K522183000,5,1,2.5,2.04
K522183000,5,2,2.01,1.64
K522183000,5,3,1.64,1.33
K520738000,6,4,0.76,0.55
K520738000,6,5,0.56,0.4
K521579000,5,1,1.99,1.48
K521579000,5,2,1.5,1.11
K521596000,6,4,0.82,0.6
K521988000,6,2,1.48,1.1
K521988000,6,3,1.09,0.8
K521200000,6,6,0.41,0.3
K521189000,6,3,1.08,0.79
K521189000,6,4,0.79,0.57
K521921000,6,6,0.42,0.29
K521580000,6,2,1.46,1.05
K510738000,7,1,2.44,2
K510738000,7,2,1.97,1.61
K510759000,6,1,2.04,1.57
K510759000,6,2,1.54,1.22
K510759000,6,3,1.2,0.94
K510500000,7,1,2.27,1.75
K510500000,7,2,1.74,1.4
K510277000,5,1,2.03,1.52
K510556000,5,1,1.98,1.5
K510793000,5,1,2,1.46
K510793000,5,2,1.44,1.06
K510793000,5,3,1.06,0.76
K510849000,5,3,1.06,0.77
K510626000,5,5,0.56,0.4
K510575000,5,1,1.97,1.45
K510847000,5,1,2.19,1.61
K510937000,5,3,1.09,0.81
K510937000,5,4,0.81,0.61
K510937000,5,5,0.6,0.44
K510792000,4,1,2,1.36
K510792000,4,2,1.36,0.94
K510526000,6,5,0.81,0.64
K510526000,6,6,0.64,0.5
K510478000,6,5,0.82,0.64
K510478000,6,6,0.64,0.5
K510589000,6,5,0.69,0.52
K510589000,6,6,0.52,0.39
K510551000,5,5,0.68,0.5
K510838000,5,5,0.68,0.5
K511136000,5,5,0.68,0.49
K511073000,5,3,1.27,0.93
K510836000,6,3,1.08,0.8
K510836000,6,4,0.8,0.59
K510934000,6,5,0.58,0.44
K510934000,6,6,0.43,0.31
K510658000,5,1,2.21,1.66
K510658000,5,2,1.64,1.25
K510658000,5,3,1.25,0.93
K510658000,5,4,0.94,0.68
K510653000,4,5,0.74,0.55
K510509000,5,4,0.76,0.54
